time,russian_rouble,iso_code_from,iso_code_to
2021-11-24,83.9582,EUR,RUB
2021-11-25,83.578,EUR,RUB
2021-11-26,85.53925,EUR,RUB
2021-11-29,84.1918,EUR,RUB
2021-11-30,83.7925,EUR,RUB
2021-12-01,84.1035,EUR,RUB
2021-12-02,83.1356,EUR,RUB
2021-12-03,83.6706,EUR,RUB
2021-12-06,83.9182,EUR,RUB
2021-12-07,83.4157,EUR,RUB
2021-12-08,83.4267,EUR,RUB
2021-12-09,83.195,EUR,RUB
2021-12-10,83.06465,EUR,RUB
2021-12-13,82.9941,EUR,RUB
2021-12-14,82.9482,EUR,RUB
2021-12-15,83.1936,EUR,RUB
2021-12-16,83.6231,EUR,RUB
2021-12-17,83.3498,EUR,RUB
2021-12-20,83.6383,EUR,RUB
2021-12-21,83.4949,EUR,RUB
2021-12-22,83.53385,EUR,RUB
2021-12-23,83.1172,EUR,RUB
2021-12-24,83.4102,EUR,RUB
2021-12-27,83.0972,EUR,RUB
2021-12-28,83.3354,EUR,RUB
2021-12-29,83.9338,EUR,RUB
2021-12-30,84.6969,EUR,RUB
2021-12-31,85.0566,EUR,RUB
2022-01-03,84.1282,EUR,RUB
2022-01-04,84.9755,EUR,RUB
2022-01-05,86.9369,EUR,RUB
2022-01-06,86.286,EUR,RUB
2022-01-07,86.04105,EUR,RUB
2022-01-10,84.7622,EUR,RUB
2022-01-11,84.6627,EUR,RUB
2022-01-12,85.3453,EUR,RUB
2022-01-13,87.5353,EUR,RUB
2022-01-14,87.0291,EUR,RUB
2022-01-17,86.9199,EUR,RUB
2022-01-18,87.0444,EUR,RUB
2022-01-19,86.4045,EUR,RUB
2022-01-20,86.723,EUR,RUB
2022-01-21,88.01455,EUR,RUB
2022-01-24,88.9684,EUR,RUB
2022-01-25,89.0193,EUR,RUB
2022-01-26,88.8736,EUR,RUB
2022-01-27,87.216,EUR,RUB
2022-01-28,87.1709,EUR,RUB
2022-01-31,86.9972,EUR,RUB
2022-02-01,86.6813,EUR,RUB
2022-02-02,86.0907,EUR,RUB
2022-02-03,87.41315,EUR,RUB
2022-02-04,86.73365,EUR,RUB
2022-02-07,86.2393,EUR,RUB
2022-02-08,85.7281,EUR,RUB
2022-02-09,85.3664,EUR,RUB
2022-02-10,85.7405,EUR,RUB
2022-02-11,87.7204,EUR,RUB
2022-02-14,86.5725,EUR,RUB
2022-02-15,85.71545,EUR,RUB
2022-02-16,85.4193,EUR,RUB
2022-02-17,86.5371,EUR,RUB
2022-02-18,87.5804,EUR,RUB
2022-02-21,90.8299,EUR,RUB
2022-02-22,89.2846,EUR,RUB
2022-02-23,91.9049,EUR,RUB
2022-02-24,94.9088,EUR,RUB
2022-02-25,94.52295,EUR,RUB
2022-02-28,122.3115,EUR,RUB
2022-03-01,122.8219,EUR,RUB
2022-03-02,114.5137,EUR,RUB
2022-03-03,121.6608,EUR,RUB
2022-03-04,135.296,EUR,RUB
2022-03-07,148.3754,EUR,RUB
2022-03-08,141.7998,EUR,RUB
2022-03-09,144.2409,EUR,RUB
2022-03-10,144.2396,EUR,RUB
2022-03-11,144.235,EUR,RUB
2022-03-14,144.8431,EUR,RUB
2022-03-15,144.8415,EUR,RUB
2022-03-16,144.8363,EUR,RUB
2022-03-17,144.7909,EUR,RUB
2022-03-18,144.7395,EUR,RUB
2022-03-21,144.8425,EUR,RUB
2022-03-22,144.8417,EUR,RUB
2022-03-23,144.8447,EUR,RUB
2022-03-24,144.7675,EUR,RUB
2022-03-25,144.6649,EUR,RUB
2022-03-28,111.107,EUR,RUB
2022-03-29,97.7571,EUR,RUB
2022-03-30,93.4836,EUR,RUB
2022-03-31,90.9626,EUR,RUB
2022-04-01,91.8561,EUR,RUB
2022-04-04,94.0671,EUR,RUB
2022-04-05,93.245,EUR,RUB
2022-04-06,98.208,EUR,RUB
2022-04-07,87.16,EUR,RUB
2022-04-08,85.9994,EUR,RUB
2022-04-11,87.296,EUR,RUB
2022-04-12,91.2828,EUR,RUB
2022-04-13,87.6987,EUR,RUB
2022-04-14,89.421,EUR,RUB
2022-04-15,89.421,EUR,RUB
2022-04-18,89.421,EUR,RUB
2022-04-19,85.2726,EUR,RUB
2022-04-20,87.1435,EUR,RUB
2022-04-21,87.208,EUR,RUB
2022-04-22,83.824,EUR,RUB
2022-04-25,79.3576,EUR,RUB
2022-04-26,78.0589,EUR,RUB
2022-04-27,79.5825,EUR,RUB
2022-04-28,76.1105,EUR,RUB
2022-04-29,76.068,EUR,RUB
2022-05-02,76.068,EUR,RUB
2022-05-03,76.068,EUR,RUB
2022-05-04,71.9476,EUR,RUB
2022-05-05,70.4701,EUR,RUB
2022-05-06,70.9463,EUR,RUB
2022-05-09,70.9463,EUR,RUB
2022-05-10,70.9463,EUR,RUB
2022-05-11,71.7128,EUR,RUB
2022-05-12,67.8405,EUR,RUB
2022-05-13,66.4832,EUR,RUB
2022-05-16,67.3122,EUR,RUB
2022-05-17,68.354,EUR,RUB
2022-05-18,68.8929,EUR,RUB
2022-05-19,67.3792,EUR,RUB
2022-05-20,63.654,EUR,RUB
2022-05-23,62.9884,EUR,RUB
